date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,MBB_close,MBB_volume
2022-04-18,1432.6,756738100.0,1468.25,192984300.0,403.12,91658115.0,110.21,63280103.0,13.68,17892400.0
2022-04-19,1406.45,631671200.0,1440.61,155658900.0,392.69,82258555.0,108.32,53593573.0,13.23,12751000.0
2022-04-20,1384.72,623503300.0,1435.5,149089900.0,380.04,83500137.0,106.4,59035461.0,13.32,13037400.0
2022-04-21,1370.21,710757900.0,1426.87,171168900.0,366.61,97831180.0,104.89,76988825.0,13.54,12604800.0
2022-04-22,1379.23,757404900.0,1444.32,147570900.0,359.12,108566782.0,104.15,91568585.0,13.54,11453500.0
2022-04-25,1310.92,653206600.0,1366.39,201381000.0,337.51,86915258.0,99.54,56044873.0,12.68,16198700.0
2022-04-26,1341.34,642893200.0,1396.9,180834600.0,345.17,78736482.0,101.15,53429260.0,13.25,14781200.0
2022-04-27,1353.77,460096300.0,1402.03,107656700.0,357.09,61009681.0,101.37,36026535.0,13.41,7174300.0
2022-04-28,1350.99,433237500.0,1400.88,92523200.0,360.2,63791327.0,102.69,35161053.0,13.29,6266100.0
2022-04-29,1366.8,507963700.0,1417.31,127626300.0,365.83,71287291.0,104.31,73732792.0,13.45,8486800.0
2022-05-02,1366.8,507963700.0,1417.31,127626300.0,365.83,71287291.0,104.31,73732792.0,13.45,8486800.0
2022-05-03,1366.8,507963700.0,1417.31,127626300.0,365.83,71287291.0,104.31,73732792.0,13.45,8486800.0
2022-05-04,1348.68,479468500.0,1389.59,114308500.0,360.97,67369106.0,104.02,35555286.0,13.04,7874800.0
2022-05-05,1360.68,489256000.0,1404.88,122532000.0,358.75,64646855.0,103.82,36964082.0,13.09,6904400.0
2022-05-06,1329.26,483028300.0,1373.21,129068300.0,343.46,57569761.0,101.88,59811731.0,12.64,8851900.0
2022-05-09,1269.62,599089800.0,1314.04,200323400.0,323.39,83804696.0,96.5,49246695.0,11.83,15746400.0
2022-05-10,1293.56,581394400.0,1345.46,156728700.0,330.02,70580390.0,99.06,36607556.0,12.21,10841700.0
2022-05-11,1301.53,358173000.0,1349.82,93650000.0,333.04,45167146.0,98.79,22928919.0,12.41,5764300.0
2022-05-12,1238.84,487651200.0,1279.76,163432800.0,315.52,68129967.0,96.44,31951158.0,11.58,10183600.0
2022-05-13,1182.77,703049500.0,1223.76,237270100.0,302.39,96415170.0,93.61,76626675.0,10.88,16132200.0
2022-05-16,1171.95,521921500.0,1215.08,175605900.0,307.05,71310107.0,93.2,28830615.0,11.1,7382400.0
