date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,MBB_close,MBB_volume
2021-07-13,1297.54,494396300,1440.87,192286143,296.7,100819561,85.36,49113129,13.45,12555900
2021-07-14,1279.91,541751600,1410.3,239382081,296.84,88504504,84.56,41432425,13.02,19970400
2021-07-15,1293.92,413941000,1430.29,189776500,306.3,94066512,84.98,34932534,13.23,16136300
2021-07-16,1299.31,410314600,1438.05,152452100,307.76,94988244,85.33,65796805,13.14,11304900
2021-07-19,1243.51,665733700,1374.15,268708600,292.06,119855183,82.59,62846440,12.26,22151000
2021-07-20,1273.29,532555600,1411.02,221511500,301.11,92875350,83.69,46365192,12.59,15529300
2021-07-21,1270.79,391119000,1406.54,149343500,300.8,59507532,84.3,31980991,12.64,12249700
2021-07-22,1293.67,486962100,1428.48,162697100,305.97,87203705,85.57,44250967,12.8,10204100
2021-07-23,1268.83,544429400,1401.53,235469400,301.77,86924157,84.37,72795856,12.53,11847700
2021-07-26,1272.71,454862700,1403.96,152848200,302.88,71614998,83.87,35660633,12.28,15999300
2021-07-27,1276.93,513020600,1409.85,190307000,306.0,90311401,84.77,57004499,12.37,11596100
2021-07-28,1277.07,322844600,1407.5,120700100,306.25,62309412,84.96,36821862,12.46,6161800
2021-07-29,1293.6,438103100,1427.55,166489800,310.97,87653506,86.14,42178696,12.82,15121000
2021-07-30,1310.05,609027100,1447.23,224343000,314.85,106403489,86.93,83969636,13.04,18968900
2021-08-02,1314.22,578784400,1448.21,198500500,314.93,102623778,87.35,58754928,13.0,12636400
2021-08-03,1332.44,607397800,1469.87,225709900,319.13,113092156,87.59,63738812,13.23,19320400
2021-08-04,1334.74,614173100,1472.2,218545200,320.02,119130027,87.52,62097025,13.41,17409900
2021-08-05,1345.55,575015000,1486.46,193618800,325.46,134164621,87.93,54877249,13.54,16668600
2021-08-06,1341.45,666046400,1476.79,211700400,325.46,135407116,88.28,103844696,13.38,13684700
2021-08-09,1359.86,624857600,1497.83,206115700,330.68,137212597,89.38,74406848,13.5,12853800
2021-08-10,1362.43,666359800,1494.41,185390800,335.08,161591753,90.53,90296527,13.38,13799700
2021-08-11,1357.79,761972900,1487.91,245343900,334.44,147929742,92.01,79368128,13.41,19533000
2021-08-12,1353.05,710090200,1477.06,184219700,334.33,150231508,91.98,86625154,13.32,9741900
2021-08-13,1357.05,713712000,1484.25,207219000,336.96,152505531,92.17,144755113,13.36,11259600
2021-08-16,1370.96,793990600,1500.77,258600300,343.53,180611593,94.04,98030120,13.99,31956200
2021-08-17,1363.09,727641800,1494.12,217175800,343.11,167412774,94.2,81602844,14.08,18478900
2021-08-18,1360.94,636257800,1489.54,192677500,344.82,148042365,94.48,70860682,14.04,12459700
2021-08-19,1374.85,647948200,1505.01,206497700,346.07,152453817,94.71,99475571,14.04,21080600
2021-08-20,1329.43,1165664100,1450.45,348767300,338.93,259058299,92.47,224138896,13.5,31892200
2021-08-23,1298.86,761345100,1412.0,250637200,334.84,167013336,91.46,102849330,12.91,21997900
2021-08-24,1298.74,638238200,1418.26,203685300,331.79,161231198,91.13,89501203,12.89,13980800
2021-08-25,1309.55,472111500,1428.51,153263700,336.01,100131640,91.53,61661660,12.91,18341200
2021-08-26,1301.12,492665900,1412.45,152194200,336.85,118861055,91.55,63229189,12.68,12762500
2021-08-27,1313.2,625254800,1418.57,202511100,338.79,133904022,92.01,120228314,12.64,18602200
2021-08-30,1328.14,626412100,1431.05,154142100,341.3,135127385,93.22,90423068,12.82,15842100
2021-08-31,1331.47,701548700,1428.66,152484200,342.81,144266182,93.77,101939529,12.59,10363400
