date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,HPG_close,HPG_volume
2024-02-21,1230.04,808511856,1242.08,305636794.0,233.84,64072319,90.61,35042539.0,21.82,31597047
2024-02-22,1227.31,740122330,1239.9,237896281.0,234.01,81473671,90.57,54957712.0,21.63,22423703
2024-02-23,1212.0,1225443829,1223.09,466366539.0,231.08,121124199,90.16,74827987.0,21.52,27315024
2024-02-26,1224.17,761367297,1233.31,249972764.0,232.86,79594753,90.49,38686935.0,21.82,19232263
2024-02-27,1237.46,830495936,1247.91,337007762.0,235.38,92511618,90.4,45194329.0,22.99,86882418
2024-02-28,1254.55,814346543,1265.35,296665539.0,235.16,91291080,90.54,43086917.0,23.18,35225601
2024-02-29,1252.73,934494261,1265.75,338012860.0,235.46,96151134,90.63,34201152.0,23.48,33602603
2024-03-01,1258.28,822115129,1267.07,256603884.0,236.43,104761087,91.16,55247193.0,23.37,26977136
2024-03-04,1261.41,994011577,1268.53,288592231.0,237.38,104818945,91.13,43989298.0,23.33,28600714
2024-03-05,1269.98,841821123,1280.17,253425469.0,237.35,81397296,91.78,38325656.0,23.6,29934805
2024-03-06,1262.73,921251926,1271.07,290875372.0,235.45,106626461,91.24,44675785.0,23.33,28078693
2024-03-07,1268.46,871614163,1276.56,249420163.0,237.37,144624630,91.61,45119597.0,23.48,32275896
2024-03-08,1247.35,1209088843,1250.2,420769614.0,236.32,128629380,91.23,55752232.0,22.95,47338238
2024-03-11,1235.49,851738710,1235.12,284702195.0,233.84,92669238,90.66,37768627.0,22.65,30439370
2024-03-12,1245.0,737689011,1242.23,232078065.0,234.03,76483084,90.77,37300407.0,22.88,30148985
2024-03-13,1270.51,826474776,1272.28,228409219.0,238.2,107810121,91.53,51262013.0,23.33,29380668
2024-03-14,1264.26,963097533,1260.32,258852762.0,239.68,163781012,91.62,49569918.0,22.99,30792542
2024-03-15,1263.78,956309030,1256.42,260823383.0,239.54,107438074,91.35,53912578.0,22.8,35837317
2024-03-18,1243.56,1526779911,1235.74,407224475.0,236.68,182835591,90.32,59096170.0,22.42,50128928
2024-03-19,1242.46,735805803,1234.74,197276682.0,236.16,82983950,90.6,30489087.0,22.58,26986377
2024-03-20,1260.08,794727033,1259.06,295539632.0,238.03,76150798,90.54,36318827.0,22.73,12979362
2024-03-21,1276.42,1081588505,1281.57,273365791.0,241.14,163477693,90.82,39792538.0,22.92,19984496
2024-03-22,1281.8,1111112910,1284.14,346130381.0,241.68,120109210,90.95,61596383.0,23.14,37402271
2024-03-25,1267.86,1101070678,1270.0,269977669.0,240.81,128783367,91.09,38824235.0,22.88,21366246
